Program,Sub Program,Approved Budget (Kshs),Actual Payments (Kshs),Variance (Kshs),page_number,table_index
"Livestock Resource
Management and
Development",,"154,369,747","36,921,020","117,448,727",248,0
,"Promotion of Dairy Production,
Breeding and Disease Control","154,369,747","36,921,020","117,448,727",248,0
Fisheries Development,,"44,662,021","61,800","44,600,221",248,0
,Aquaculture development,"38,117,621","61,800","38,055,821",248,0
,"Fish quality assurance, value
addition and marketing","6,544,400",-,"6,544,400",248,0
"Crop Development and
Management",,"509,039,542","191,256","508,848,286",248,0
,Crop Production and Food Security,"509,039,542","191,256","508,848,286",248,0
"Administration, Planning
and Support Services",,"3,183,483,467","123,783,283","3,059,700,184",248,0
,Administration Services,"606,928,663","121,233,283","485,695,380",248,0
,Infrastructure for Land,"2,576,554,804","2,550,000","2,574,004,804",248,0
"Land Use Planning and
policies",,"38,191,060","1,335,890","36,855,170",248,0
,Develop County Spatial Plan,"7,950,000","762,535","7,187,465",248,0
,GIS Data Base creation,-,-,-,249,0
,Survey and Mapping,"30,241,060","573,355","29,667,705",249,0
"Infrastructure, Roads
&Transport Services",,"2,224,340,589","15,511,435","2,208,829,154",249,0
,"Rehabilitation of Roads, Drainage
and Bridges","2,188,245,789","15,015,800","2,173,229,989",249,0
,"Rehabilitation and construction of
Transport terminals","22,563,200",-,"22,563,200",249,0
,"Design, Supervision and
Rehabilitation of County Buildings","3,991,400",-,"3,991,400",249,0
,"Firefighting and Emergency
Services","9,540,200","495,635","9,044,565",249,0
County Electrification,,"102,330,000","16,000,000","86,330,000",249,0
,"Installation, Maintenance and
Rehabilitation of lighting","102,330,000","16,000,000","86,330,000",249,0
"Administration & Planning
& ICT To Support",,"352,073,274","81,277,832","270,795,442",249,0
,Administration & Personnel,"352,073,274","81,277,832","270,795,442",249,0
,System Support,-,-,-,249,0
"Information &
Communication Services",,"21,569,000","444,800","21,124,200",249,0
,"Functional & Technical Support
Centre-Help Desk","21,569,000","444,800","21,124,200",249,0
Structural Development,,"55,066,066",-,"55,066,066",249,0
,Networking Infrastructure,"55,066,066",-,"55,066,066",249,0
"Infrastructure, Development
and Maintenance",,"10,761,482",-,"10,761,482",249,0
,"Construction & Maintenance of Non
Residential County Buildings","4,761,482",-,"4,761,482",249,0
,"Installation, Rehabilitation &
Maintenance of Lighting Facilities","6,000,000",-,"6,000,000",249,0
"Fire Fighting And Disaster
Management",,"15,000,000",-,"15,000,000",249,0
,Fire Fighting,"15,000,000",-,"15,000,000",249,0
"Promotion of Early
Childhood Education and
Development",,"33,466,339",-,"33,466,339",249,0
,Education Developments,"33,466,339",-,"33,466,339",249,0
Vocational Training,,"115,035,198",-,"115,035,198",249,0
,Revitalization of Youth Programme,"115,035,198",-,"115,035,198",249,0
"Administration Planning and
Support Services",,"110,551,671","14,151,501","96,400,170",249,0
,Administration Services,"110,551,671","14,151,501","96,400,170",249,0
"Co-operative Development
and Management",,"28,940,000","222,600","28,717,400",249,0
,Enhance Marketing Co-operatives,"28,940,000","222,600","28,717,400",249,0
Commerce and Enterprise,,"11,700,000","419,600","11,280,400",249,0
,"Business Development Services for
MSE's","9,780,000","356,600","9,423,400",249,0
,Consumer protection,"1,920,000","63,000","1,857,000",249,0
"Market Rehabilitation and
Development",,"491,189,883","2,810,200","488,379,683",249,0
,Rehabilitation of existing markets,"491,189,883","2,810,200","488,379,683",249,0
"Promotion of Tourism and
Marketing",,"3,820,000","299,007","3,520,993",250,0
,"Establish & Management of County
Tourism Information Centre","3,820,000","299,007","3,520,993",250,0
"Health Preventive and
Promotive Services?",,"644,491,438","6,228,000","638,263,438",250,0
,Health Promotive Services,"644,491,438","6,228,000","638,263,438",250,0
Health Curative Services,,"2,171,962,276",-,"2,171,962,276",250,0
,"Provision of Essential Health
Services in all the Levels.","2,171,962,276",-,"2,171,962,276",250,0
Administration and Planning,,"3,874,440,427","828,598,569","3,045,841,858",250,0
,Health Infrastructure Development,"56,308,823",-,"56,308,823",250,0
,Human Resources for health,"3,817,131,604","828,598,569","2,988,533,035",250,0
,Research and Development,"1,000,000",-,"1,000,000",250,0
"Administration, Planning
and Support Services",,"1,357,443,511","49,132,734","1,308,310,777",250,0
,Administration,"1,357,443,511","49,132,734","1,308,310,777",250,0
"Provision of Education And
Training Services",,"10,950,637","394,900","10,555,737",250,0
,"Promotion of Quality Youth
Empowerment","10,950,637","394,900","10,555,737",250,0
,ICT Infrastructure and Connectivity,"40,514,000","335,383","40,178,617",250,0
"Public Financial
Management",,"537,583,492","11,202,781","526,380,711",250,0
,"Budget Formulation Coordination
and management","60,795,181","6,922,700","53,872,481",250,0
,Resource Mobilization,"71,368,362","886,731","70,481,631",250,0
,Internal Audit,"72,839,521","602,790","72,236,731",250,0
,Procurement,"14,541,930","633,100","13,908,830",250,0
,Public finance and Accounting,"24,040,078","1,880,260","22,159,818",250,0
,Debt Management,"293,998,420","277,200","293,721,220",250,0
"Economic and Financial
Policy Formulation and
Management",,"290,667,018","803,940","289,863,078",250,0
,Fiscal Planning,"290,667,018","803,940","289,863,078",250,0
"General Administration,
Planning and Support
Services",,"1,033,686,575","137,610,683","896,075,891",250,0
,Administration Services,"1,033,686,575","137,610,683","896,075,891",250,0
"County Legislation and
Oversight",,"609,223,466","101,083,757","508,139,709",250,0
,Procedures and Committee Services,"609,223,466","101,083,757","508,139,709",250,0
"Financial Management
Services",,"623,908,377","53,143,407","570,764,969",250,0
,Finance and Budget,"623,908,377","53,143,407","570,764,969",250,0
"Management of County
Affairs",,"363,035,779","35,500,829","327,534,950",250,0
,"Administration and Coordination of
County Affairs","363,035,779","35,500,829","327,534,950",250,0
"Coordination and
Supervisory Services",,"38,522,400","2,063,615","36,458,785",251,0
,Organization of County Business,"38,522,400","2,063,615","36,458,785",251,0
"Public Sector Advisory
Services",,"77,476,716","26,180,000","51,296,716",251,0
,"Economic, Social and Political
Advisory Services","77,476,716","26,180,000","51,296,716",251,0
